bitclout_public_key,btc_public_key,btc_sent,is_genesis_account,profile_names_list
BC1YLgQHDo7YPv2XCbHZv5kv1KWVFEVRT6HEPbHmFv2MPG8Jd9rimfr,1C1fyuh3V6mAwUSDxxuXM5NtTDUjaTytAV,11.75289822,false,BitcloutGOD
BC1YLgMhwaEQjKLfP4Chhkj2Wg9c6bd994ihcRxeDp3QkZzPaFUEVKx,1HKxPRnq352mRzQXjitYuSDBcuMH1P8EWy,10.44093119,false,
BC1YLgTjDNzBxkaDY2jRgRP7nkB5yaNCRwxDt5FNLx6TK1n3KwmyfjC,1AstyxwSRDQ8Vxa2cz54NWaQpsGLMEKJVT,10.36472925,false,Moshehogeg
BC1YLhv1hp3AHLCjc93NkLQGWc4iwRNAdamyu1VrNSiyLwxVUWJwNUy,1BCUXi8vrVtPUa3qxsDDLUqAHyGnT6tFJZ,9.99978172,false,
BC1YLgeJ9zRhRqS1WH275hhcep9Tt2axMASCVwYgnvpo2GaRpychrvm,18pvQ6fnUbMQ7peCFSyGPnwWRsTywWFwC4,9.99978172,false,matuszewski - cmsintern
BC1YLiCYhUgzJARpjS94bTgozGo2NtgbA2C2BXu9ePBsC2mrfz1diBZ,1J3UqFgJ35hjxDfS13aG1EHrHsgv5bm73c,9.99978172,false,
BC1YLhFZQ6CjbUUC5JtrqVM5kGrgV9XynL39xTxhXZULUEzFnRTe1xC,13cD57Nerzd3L7nVVXNER5ifKUkEo8Q42H,9.99978172,false,digitalj3di
BC1YLhw7yFRASLqN39aAVRiBa9JdjQ4PZbB2hK7h4rpSYEAETxRy2bf,1QFZiMMyrddfGVZWzjbyT6pdcFFTeN2H9x,9.99978172,false,
BC1YLhsJ5u7iRBW4i3znG31JK1NuJKuAh31ibunYBGfSRMUMkX1v7Ru,1KoTBNqjhxQSLMjK1has98BXWiosV7FZi,9.99978172,false,rsalame7926
BC1YLi2QprKzgab9xyaMCm7FfiLAqgwnn9hAyXmDpeanefHrQF9KBMp,16BFSryoWkmVPMhm3MGFAbJzyH83GymnDa,9.99956344,false,
BC1YLiUM2bgNMFFRfGNGpPzm4KPREKfLmC53Lpzun3uXWjrgCZSm5XB,1NbXHyCPGKxb1vgKmQaZggfmAViqZkyXpu,9.99925608,false,
BC1YLgCQZbKUyy8KkazQKm2M1PSvtRuuNALC6g57pUPdLfgvJqgkZ3L,12WvhhW1CyHST3ttjuQNDXFnhJpubiTvLm,9.99768855,false,edbaker
BC1YLhTGUfdpRoQc6tg4e4vizZ1uNWjBqNzX9Rqk2J6Knm698ZHonxZ,13irZ3NtZ5GXuXvZv2e3hwayA69DzFQ2Jw,9.79736931,false,
BC1YLjNWUQvj6WPKgSFWqVjntgDTcKW8hvRZHvWTKorWPTz1k4fwkyF,1L2RMhVxpHEWQ6V8ySpfN3a7dWvVzcyTX7,9.34931042,false,bitcloutfucks
BC1YLiteqMyLp9GA34Y6FDwTBCYu8U6fi5W74U1CiRKDkLqdyD9EouQ,12fna3mDUfGnqeqvGR74k5ayypCMqj7WY6,9.30959812,true,
BC1YLfkH4QhfoZiNMCUJQarnFaYtmZqGjUWRC5RJftvUe5sAteAT7UU,13QR3F4W15NQr1R3AjU7CdhbikBBkMArSv,9.0483153,false,
BC1YLgrg6eoEqj76JX6FfW9dYLZ5ZBAkmZy7fMz3r7nfKDpwKHSwJnt,1NiTeLuKy4s85CitXt8wQek9aPFGvTWf4,8.73316857,false,andrewmarks - andrewmarks - andrewm - AM1 - Astropup - Thyler - Thyler1 - SkeoThyler - MantisToboggan
BC1YLfxdF58AJ4UKgmPaTkiHBzv9YeaQ5iR5rZL9ZPWmWBySm9XmsyM,182MtpmA8zZvxU7RXTeMmKMAruxurwu2y4,8.72264758,false,
BC1YLgemUj9Cv3Ty9f5yicTiSg4BWFaxtGX3wcweAnxZsFwb7YhHgD3,19ivmCD58mNx3PRN2UJrYDbzyNXRXr39a2,8.58282034,false,
BC1YLfx3yJTHtq92DsshTQQ2CJftoXRsmCikdsmsF7vRxcjBDDzowNT,1K3LXTpJznritJX1uVikfojwymow5jqrT7,8.5719017,false,Brandon_Lei
BC1YLivXEiZccHtqcDSkSGrQT4LYkx6Xvo76w1gBZJLZEcwXF4GkrEv,13P2WakfXN2ASg6TPDCMNPNbLu72wSzsJs,8.51427544,false,stuartsopp
BC1YLh6KzWQcKbJJXodYqMRamoTCjNvCp8kwbZWU5waTMLfvKAbGAVt,14ecQ5Y1LG3XfUfhNbz5iRNeiQtjFVkYRw,8.03912688,false,cryptotwin - bigbrainbaboon
BC1YLhgLiHurq6Pom48KHMzR6KMkZNkSdwM995ckczKAp4i1ZrMMQ52,1DN1N4MKjZwn3pvZg8mzKvZMVxsrSero1v,8.01381099,false,
BC1YLgzTd3yhAHXbpteRN96ajdpxBFGnEn8fQa1zYDich4GqqD3J6WM,1BSxXu9tCNYfn6dMWr3oPHTACUcmqbypwM,7.9473993,false,
BC1YLhpwxetHbeEfoPeVWzDfQSjgaKfJVhjgaf3anjashVAA4DG8Qcv,1JAaqWy717zfd21ct5csisaoSDBwWqXdy2,7.93342108,false,
BC1YLgnXG2oG6uhsoc5QA7KX39oXxtvmUxEvEVYHyyCWe9vGitRaEVW,1DNYQpHWVw7QcbmSyo8BWEjyxGGx9p3786,7.80670214,true,
BC1YLiyneKVf8qLPPgoUe499DQRgGHnpvK5191mUhi2XysfCdMAYMbr,1Dn8QvzoM9VauPzWASLy3caMbGMFyeGRpk,7.79039155,false,
BC1YLiVNw5JWjqyDL5pCVQUBBHmANgc7rPqFQG5MQ1KeDLbDovut1Pu,1MBh7uR2xhsLSkBYzbkQpGvs4x11JpLptM,7.3393749,false,
BC1YLgCjHu1ih1L313U3wBpmAvuaagXifGez625NnGE4xkPNPdgSN6g,17Uy4LwyTS5KDggAjYm7BjQtKSP5rG1KVP,7.20876441,false,mattyiceco
BC1YLgZNHQ37Xc7nJFr3AMouT8rccFU9EoX6yZz7AKMRM7imJs2wn7q,16cvj6CMB8AvquZndVQd3Hj8RLYvFY4gnG,7.10226101,false,BDFI
BC1YLiv2FtgSS8vZ7N8v2gfb6BMgWAkRaX38NanMdoHE26b4gFijfeN,187qgy5yenRNEv5F3GkfigSPcP9N3HnFXn,6.77302095,false,StefanGrafstein - StefanGrafstein
BC1YLjT5LGY69sQ9wADwvCtsvXQYDANXKmpMmy1DGTpduGro7CH8jyH,1P1PiKLnx4oVkhRy2sfeHSvamkcFEpZCxa,6.4999486,false,
BC1YLh4GiB3WdmiYmNksFf2PUSYVY9XBnPL8C9gMmooS3Aa3VybvpES,12EwSzRBA6E9RjDKAsqXAQuEaUpszQtxAp,6.38403243,false,hedgedhog
BC1YLfiCLSNpeN2keMqSf9JH5tw5Z29f1SyEaPgWXHrPc4Td5NtNWyu,1PBMkKxcZrX1gL3KgX88JRnLPqfxg6ErFf,6.18746527,false,
BC1YLiVrXM2zZx66Y5hXzcSUcGLUQvJqMNw2A6TLSWDUFzoWuMmJKdp,15FJad7HKFVoM1qrNMxbvX3XdYxhu6JQvR,5.99912688,false,
BC1YLjM68GgJQ1MJ2L4uNTV5WmX51QvJ41Aw16LSZyXo4WDctk3Y8Di,1MDKeW7t1DrvszGdJftrFSEBvuD6PSU5fb,5.99902876,false,TheNotNewNormal - PancakeBunny
BC1YLjAP7cuv2HP1YvNsjE3TLorZaoYfY9ycg9Ebm8WjWMd9sGQeMPV,1D4JZZS8dnksUdi6STZXYTk8PvxQB8BN2C,5.99788656,false,johnnny
BC1YLg4BAwu45iPzWzfGeuJEhqrg7X2styyST8pHv1L24j2RLrXRSKC,19jr1zffNpL628M6YcHoJG1diDWQK79mnX,5.89814301,false,0xApex
BC1YLhaAp4qKX4iafEuus2Dojujp5zwXYR6pM7Ta7adENpEifFSUg9J,1BBFQLQrRE7pQ1E3kfPCYXxdMV1ubvZdCV,5.67027291,false,AllAboutTheClout
BC1YLjYY9R14UB2nfGL1WCfLCGEtHUXbbLLuZRX4GamJ565F8yGe4SE,16hDbZUPvLyG5TXQTBhq8HZEUn3SNgnNsR,5.54698355,false,
BC1YLiuNQ39b2aekWkdxoPNgABtr5fxCcnDbG9pvw2boDxVQQDe9Doj,1EpA6ZB4mv7vd9Vskm7RYazjhNg1BVcP6F,5.26102979,false,
BC1YLhvRMHvQfU44ATsRkqX7u8eF5oRmYjaGEWzzia7dHLUZnZREr5Q,14h8MQnjKh8Gt2pxpqm39N9CWNB5BcP2JD,5.20350785,false,
BC1YLgHzKMXEzqN64zFsqTb4rCZzqDiwFHr3geigPU9pPB3tgBKNU6n,1BsHj5V2uF9BFMe2tjjpBBvQTkkNhQx4bm,5.11054244,false,
BC1YLhddLT28FatHr8XEQfowyKe7tdWKU8AWypKP75jEUWLdsYi47Fj,1ETtHftjtqdjPwLASevQmGgDCdU43fbbVV,4.99956344,false,
BC1YLiWZZukaBtUyukVKoVdmEX3wxBMuYLzR8nyhyLhCKPfG6hGU6eU,1Cw9tYVb6YAU5p6MvAwxX69aoJDokX8UHJ,4.99919624,false,
BC1YLfmK35WAhctRs7jD1vQZDKX4BTdMuShMkEx3qLXfTDWrZn55A88,1KgyPpjwXZ15XTtxWuTQ5PKC1aMPWCFPop,4.90463536,false,
BC1YLfwYmCToBKXgHup9yhPhoMimXpCu7eZ8zvUToNwVRQp6WX2oGpk,1HhATkLiqEqmWmMW3UKSVV5ECcYZch7itD,4.58328172,false,
BC1YLiwCtwj9py5ekJFeXaxLmC8Z78qrBPiegZVqH9fRXh5hv7HFQpz,1LeUmAuT2BNqpNn9m5jZxntHAqGtfkPdbH,4.43713341,false,Chingon - ChingonETH
BC1YLfpJbpBXwuWP3oGtd4qbChS1tmmi1xYG6MCXgHL8yUD76gFiZBe,19mwjpWemz8Y2DrC2GCUAWmMZpqxdvPri7,4.36727662,false,
BC1YLi6zwKhVUGP4fkADVTmQ13xg3zBWMU9ojAdVbfCWf8RzdYPUXkW,1BSrsRueQNYSpoqWzFSzqFTbaXuwayrhy7,4.31239213,false,Yolo
BC1YLipV7qYozXCnfdVqqXak4zpLF1iQ2BhFwrnWYVmntPqtKCGufaR,1JS54ViXvPo5boHrhvai3sz55jwdTFY4zk,4.22755378,false,ChritianBitsandPieces - CBitsNPieces - BitsandPieces - BitsandPieces48 - BitsandPieces88 - BitsandPieces
BC1YLi3s7Ge4pu5dGxcoLgFGnFTZCZHbV3s4VPoZbD9a8XJur1dNFRD,1NfnSuCeNM82MjisC8BVmVp45e1TEkjsNQ,4.19934516,false,
BC1YLi9EzvQs8EMLibzAwzsDhXu6HvccZNwoKSqgrAxHmSGqpp2cjVs,14ZQ1T68F6NCuwYHbsUPiYVk9hSM5JVVhd,4.1768329,false,Ruskin
BC1YLftr6VcHrP9RPRMGu4r9P31D74FxcgtMLgP157AgQUF5E1qfmTQ,1PyH7gJd6iaWrXFY1vi5Lb7kAMMbhVj6H,4.08712687,false,
BC1YLgnCbZF9wx5zDafP6WtqAEKx2SFjnEP1wNyYQHJkGW1iNJCpQCk,1CFYuAXXW5AtpkLjWpvZ93E8sWmxvZGnJ4,4,false,
BC1YLhne12XkJc2JEZyzm4bWkkmDEhYrA3Q8BporYYAV9eHD5iijHUG,1G52jD8opyXZBeiow2bET2xzwtiX1mirTU,3.99978172,false,shaimo
BC1YLfspdxWoEEHuuMGS5A7j94DzAiBpTD9e9HVVsBEVzjf6yLVbC6v,16U3r9r7uUqBFftwBhuRe8UE4iaqbbrtMr,3.99928256,false,
BC1YLiRHK2NHHDP29Vf2KqZWzxnMAbfaVYUDNdq6FRAUudMLWxCqG4m,15g58xYbeEiXipwy562TLpEmUj5w4RJT9s,3.92117641,false,SpiceCrypto - Prometheus
BC1YLgWky33nEoiiNChjFpuUuJ6nEmjVTp64xE4FPwwsES7kDeHWesF,1LNMrXxYD18uaw5kP95BguVygDMyb49L88,3.9095979,false,
BC1YLhCTGXZVgFHopnpPMa9ZxCZsWka59NaJTpQaHbJ4vkGkDXwWgBt,1JeHjbrzTYV78RDaKqi7QUX14BGwjdgnQ5,3.90812795,false,
BC1YLfqyYtEvMfcRweW34TVWzj29oaKnPJCE6eXivCoU9tBQyBtLfbu,1JtuC5rjGefgi51rtNPuP77ZCj2y4Vo3w3,3.9054338,false,
BC1YLhodkQNK6ZyMhe37Rv4VuKzGTMh5uEW3B8mrZANw25qpRzTs5cv,17sDJKtXbazxyFJHyejFechCqrBujdFL7n,3.84586128,false,Apes_Together_Strong - bitcloutpsycho
BC1YLfhzN5h8QVg9DRc9JoUd29PNZ9MkBUazHHqK45BwaEb3FJWMbwW,17D5Zi2ArUE2XgeskCAayQ3R7AAYXgLdjp,3.78542109,false,Nimo
BC1YLfyUarj4voTDxwcDv8pEgxgUMDUvzai9QTzrCXbTQTBBLkUUNe7,1EWDNXQYQzLgxb5pWo5kGe5DTesoyQvPe,3.67332688,false,
BC1YLhpcqwZ8xytgnUswW7uKNc4hPaPJWLMLYRGcryLWpHzMyouivbZ,1JeP7hCyxhLSG9Fe5kK8usubUqXvFMoPBa,3.60934516,false,jytang09
BC1YLhMyHqQVJaGUwRnBTnSjqBEehAupv13hHyJv6s8LoiVQMVfE6a4,1JYLzheszS6zZVZnAU7WxBdj9MaVKw8gCU,3.59934515,false,
BC1YLiedtXEu31hYnfSWf8z3eHhEeZUnFQkEGatG4uRYmFZVuamN8wo,12Qfyis9Gg9HqpAjt9qudZ1mDMVz6LTs5u,3.57222408,false,
BC1YLjL4LkAuPu5VkEm6yGWbHUPchZfgNfDrq3ajqPuVRSFEbPHS5RB,126gophBZh3bQdBzkyYgpUeTL3nw5JVA7W,3.49978172,false,
BC1YLh4bqW19X8cgXY89kfFidnH2fEjRcDQypN1ySjxTXvaSefv1d3r,1Gj3EfpP6RfzZo5U7JBsmLyZynfC1hVp7v,3.47538747,false,
BC1YLiiXxS1HzdXfCxbCkEPMxCQ3kDr4pb6XjGUGsDgySbyDt5FZGXZ,19bxBSXSyvPxJ3ps1DGgNMJ33vhx1eEWsY,3.33080287,false,JesseSullivan
BC1YLhL7LzxVChVq21JovyYP9XzqFNZVaRvbbTiLV5YhhWE9nwwYYXT,1DcMeV1cUspB1S3HLFgTQJboitrGyEZ4CC,3.32294202,false,
BC1YLgzVAQijRvLJShUDLea3GKGjT3HnncJwg9CGQBui5hdqxUuts4i,19Le5nTKLBkyLvFdeFXZ5Niz8tTrKqSyUM,3.21026521,false,allenc - retika - allenc
BC1YLgfsYSopdEtGwyEViWQKALzk242fqrRyH29eTCyYhTVHYte37Kx,19sPaa3SCtxMGDJd1sngdZgnL2ed5y5cgY,3.16719309,false,
BC1YLjLRKSRRZXh96pFC3uYb2zwfWgoyoackNvQdnrVeggwYNxCLgNZ,1Lgdtt17CN6TWyDW4LkY37iHK857KnN1m6,3.13649814,false,Ballerina
BC1YLj6A45ZodvNrLoU2hJfuDKi1jHdbsHho3yb3dYzLkugZfiFDfit,1EvjkrVA5KMZZyZ1wEnt58t3TnK9fKsk8e,3.12226995,false,
BC1YLgyxcrMRvMP1TJFg93MrLVfeUHUdS1VrSLU26FTXPdC4VPzcroa,1DRWjUjrnoYiU2fv7jzRQN7nh4gQtqiZfp,3.11123415,false,BrillianceVentures
BC1YLhJbqnXbBs8oZNztLSchLNLGH7aL2qfVgzZsKQfprLcjxbkWfjN,1DxGAWtLV5L84WoEaPxgNjc27TknHVcs2Q,3.09608153,false,
BC1YLfyMeEiGvy5QMDeyk3p7FUpLjHGnwu7es4K7WXCBqfMdTMLrg9n,1BeT6CsUTGAFEMqTmezyPnjjNPsUqdynMN,2.99978172,false,tsui - atsui
BC1YLgJLEJzhTnCGmKJu3N4rZaBovVGhQ4JmUcWvgp1LgW8b3DPf9Cw,1HDKpvPULq7CDkWctgryqactYtcqRFi1E6,2.99963172,false,
BC1YLieAw7zJyzDuriTuqgS8NTCweRfcPuEGBUdivufQoczZp6DPfE1,1HYcjJaTKgBiYUMEojdUcux88CM5KXnzCX,2.99956344,false,
BC1YLjE15YWeYE4hSCnt227zF1XUqqc7Qua7j8z9ECL5PRhJbRMi21A,1E43zAru6isFquQdyqdxbV4LmD66nkUycQ,2.99956344,false,
BC1YLjK7LgHsV2CDABMyNRZT29FBcP1rkhQXqkDUgZ96tfByoUHnLET,13SBjvv9DyiCExBA7i4tgEmVXvtgTCK7dc,2.99928812,false,satominakashoto
BC1YLgScTfP6yTo8PcWW2uyxZBtTESbxonLBsDK9TTZ2e47YFmWn52d,1LbKm4Fnf7t97kghsUexFrCD1v3uLWPrDA,2.97912688,false,Stonehead -
