public_key,bitclout_amount,reward_transaction_count,is_genesis_account
BC1YLgZHeQRCqCwuBgtSUVLcC8fDpRmCduRKv5h2uheVA9u6QbwFFe6,41667,1,true
BC1YLfz8KP4Gqiec9eqXnsGMLmZofocoVxASsVZzenveE2Mwxe4i7CR,40447.1422175,1,true
BC1YLiPF4hTFuDZCXir62nKMQCXgJzi1e7z1HyJXeBtbJwTCbDER7Bs,40318,1,true
BC1YLhDBoQachfhwqVNR6RXjeTdiyK4LTQkjKZJDtoa2KhCnxBSuCug,39201.1368241,1,true
BC1YLiXzk5zweP6TywCu91qFLbGuzFBMoJBTH39r9dtG6cKQ6dMoDzg,35000.0000013,1,true
BC1YLh4znr8Z5bFgpPkgiR9v4DasyzKzw7fkKF7WL2GL6oo8HBignNH,31909.3791487,1,true
BC1YLgeBCWdzYDXcta61nCqwfuyj3VjD2kkKiF2rfuu6dsBU2zRQRtk,31250,1,true
BC1YLhJmNVM7VHtYz1v4YHNS6vPV5iNG9bBinV8qk4RrM86srrTakrm,31250,1,true
BC1YLi4JMMSgcjmTV715SwzUmNj4uZosiaNWt1UyJ8fYyUfktUVWaar,31250,1,true
BC1YLgqV3eAnp53JdonA8jV9xjDgtJXGASbXvDVxDmveUdnBW5AkmDV,31250,1,true
BC1YLfmFnjX9D4Hy4a3uETXHm5LH3VCpda32GRPf7cfHpycVYrBcJzs,30788.8511472,1,true
BC1YLfgco8qmMEzdgqZV97ZMsdcETHUVTMShtHaUkwLfcoUG6ThbNLy,30000,1,true
BC1YLgGUvSCBToN9gbThF3cETR4B2dhcaFBTyUy64NCmY4Y483WfHUX,30000,1,true
BC1YLiurPgSErjsC8YSqZZL3pQY5UXkzSbzvMVifbdCpac2v6i8adYP,28101.4848514,1,true
BC1YLh6hhf2koahaMb5nydvB5EHzEAP6MZPSsQM8Ka4Ko4gjbeXjQjB,25592.5244409,1,true
BC1YLfrvJwwAjDcL3Tq2spWbvXCJFadiDdJMyvCaeHgG7snSsYNRKXk,24747.3501084,1,true
BC1YLjWZutGgru7KNgdz2TBaRLEJZzWdHTA3kRpgW68DjjeEq6JS1j2,23161.6089064,1,true
BC1YLhqEhWvNnwW9TBqXURFqwkdpUYKrMVgTHQzopF5rRBDcD1LLSUp,20893.2147698,1,true
BC1YLhr7wX4jJeZYdxXabDN6UjMRxG6otFFqMuEwCFnXXEZJgBtHXCY,20833.0200134,1,true
BC1YLgUU57aMVyfmrprFZicifoaH5QD8WdBWxtw5PWusD4Spe3CjwoS,20000,1,true
BC1YLgTH8hTRDZGMnGzkCDjFervwmsbTpUoChN5ePb9oWMgFaX1uu21,19821.3310379,1,true
BC1YLj7bjLHWi1oRdzVMFJD8m92Sm6Bj4tbH7BTCSzJsVGkNrGKLzgN,19319.654163,1,true
BC1YLfoUcMpzwm5rKQUWTH4TukSgooozoM3QK3xKdroyxxKt81H6LAR,16909.6671446,1,true
BC1YLgSBWbN3PxHrDTRvjMtYdA1mTEXZ8x35fZozWaVo8yBEipFm8WJ,16702.06002,1,true
BC1YLhfqALhS5UU2mRhsHyToHMEuH2iQDV3vGa1vHbfmHhvqVLNomVt,16667,1,true
BC1YLgRwztiBxupHgz2XiRYFBjDqh2k55qhc5YoACCyQV8UqoQzVvm9,16667,1,true
BC1YLiEbKxZAi1rMLL8W4FYfr757XjRThamV7dQNHZWPmamESPigq6m,16667,1,true
BC1YLhfV2NEk2oPk57Z5dv2LwC7scM5Ncsqgw1hnh2e612YpwYB96Dy,16667,1,true
BC1YLgCaNEnmZyQfKXEc5Tqd8ZU83rvNuXjzQKgtBAcLKAWfLtbotpB,16667,1,true
BC1YLiNjd7hxMKPhL6pwHff7j7642VoaWAj6KcpNScpZexVNARyn89r,16666.6800162,1,true
BC1YLicyGzKNk7huWXVTrb3q2JENZJuhsMMtYS6hesSdKqz5v3513Mv,15625,1,true
BC1YLgviEemhdqdZ1FXpx1BV46QBb6NRwcjcCHM9zUntduDefiFXgR3,15625,1,true
BC1YLidaqkBtbWqocPW7899A63WFgU1mRA9URiYPAFtmnKrhZDahrJa,14063,1,true
BC1YLiyKv1FDuHRTwc6XqLVKp4rHLmDzCU8tDfenLYML1Trh7RT4knt,13750.5703007,1,true
BC1YLhpD751wXe3YddHHxNb37XvMzixgXDSWRpPR9aTP28dzXmmK6DR,13750,1,true
BC1YLgWWfQ1ei5pihgruLX8wAdnK71oiKkVchYTxBRhc2XmCLmJwo62,13464.4367801,1,true
BC1YLgKZyfgyNntCMXAZYExM8JooYqrYvVsrR8d8XVxorDruYFdq31p,12912.156054148,27,true
BC1YLgnXG2oG6uhsoc5QA7KX39oXxtvmUxEvEVYHyyCWe9vGitRaEVW,12381.8441988,1,true
BC1YLiGAfFGAU19wkwymTFwjnFcWRxFZohrDSJjVKsHqVVbM8b5frf1,11062.152861,1,true
BC1YLieLTWRbP196ZGbVPWLGza4ZiNbYnBmbfnDSigbrzVmSLDoZpa1,10886.862799865,1018,true
BC1YLi7qauajrATCFtftpb2SvRBaBeMwBJLGszf49ns31ErWTbUhtNY,10668.6449806,1,true
BC1YLhpfCfcBTrYxMjqDd3M3TiAEwGJt9Vy8iaiEyE6izbBpz4TWQcN,10650.5597325,1,true
BC1YLg7uvPkRBSwmNSMwYdMBTubEsg9vh2SeUCY1rTHUWCYM1XHvLLz,10366.8037853,1,true
BC1YLgVXYRjA2rSabyk8kgbXML8eACKd93SihFNyTSxvd6zYQM3nJAm,10226.1848833,1,true
BC1YLgoGKCGAWNUfx9JSRoYUk1CWBsP3cB9FfAWxe8AQbnxhVDP8jSD,10000.0000172,1,true
BC1YLhkpdRn4eVobE75QA6DGj2o8o7McP6eKjh6gMGe468vf4JExrjc,10000.0000157,1,true
BC1YLgs5aoZno8F7Cnk87LgqkTzALeEK1tCf7476pR36pxEvUz1gJEL,9789.838167,1,true
BC1YLhBLLuyrmDLaptQEHwubuCBv8XfiUbqr4KxyYoNGTrioETYMz9B,9571.1979534,1,true
BC1YLi9kcfg89zW2EVmj42QHdWKEhmM1HkAF2eXtCwtCE5BaXHzAwhc,9416.6832992,1,true
BC1YLim8QWw7SoiZiuKKWjiLjyYbZVVdR1Byg2eETFGBBhjfeCE6JB8,9375,1,true
BC1YLiyR3qJwAr2oKXExgjsZx4LmUxhqjWkGGQjEEUpzrVPTPX78ips,9175.0548582,1,true
BC1YLgjwuV5yeoGeJ6P5FQpjoWfhdhDniXcQWbeYWtGmNTzPkNbWTjC,8358.8585269,1,true
BC1YLgDwQwat2WuDwcsXeS3dsQxfrBjBHYSCKyyHkFY5Z9dSSo4ptx3,8334,1,true
BC1YLjKf3GPn2P7bZryCr7AtxG9DuFQQN95n4VoptbFtYGnML1EP5sg,8334,1,true
BC1YLjDzD8Wdzz28R8GRhjZG8F3dDGug7nvvc1PdKi1XDoPoMfPYJ7C,8334,1,true
BC1YLfoY1QNsDxeeVhBtm57pYDxayjLrAYtTXM9p8DfF2WAHwZh9y6a,8334,1,true
BC1YLhaFCQ4B2MXAMU9BMCk8YPzv3kQYmnK58u8VdvbJY6dwNB3hay9,8334,1,true
BC1YLhX3HZsZKYyJiv8aaoAdR5mgtf87RUiC2PyFDUFaRT7cMhtNiep,8333.3400032,1,true
BC1YLgytzxKQaxauKseGv5pNTgN3832BCZm4Uewrsm4hsrtC6VgpssX,7756.6240733,1,true
BC1YLgRTuKdWRMUZHqNprpFzEgySPfAAG6ddrZ8ZQuiSN3XDLazbbYP,7384.3764695,1,true
BC1YLie93uNWhTBH7TS9iqecXhqXvFF7dp7iZJyBXbjjvjxrmVVMf3n,7367.6186708,1,true
BC1YLhV41GmELfh6zJiMmoozC6q2kvvuFdgUXnCR5Z9RV2ppcdfr2mg,7019.9877198,1,true
BC1YLge4CmauYsrUFvJ16iynvcUEqiELAL4XcCvRAXFQ2XaBJ4pfEN7,6588.5940515,1,true
BC1YLfuPKvErRtLmVB1mBkiyEDpFUDR5V66y4U5vh1RgpTweCyTN6aC,6250,1,true
